recipe_type,recipe_name,servings,calories,description,ingredients,recipe_method,picture_url
lunch,Spinach & Strawberry Meal-Prep Salad,4,374,"This is a simple yet totally satisfying meal-prep spinach salad bowls. They require minimal prep and can be customized to your taste. Swap in roasted salmon for the chicken thighs, and almonds or pecans for the walnuts, and use any fresh berry that looks good at your market.","[""1 pound boneless, skinless chicken thighs"", ""1/2 teaspoon kosher salt"", ""1/2 teaspoon dried thyme"", ""1/2 teaspoon ground pepper"", ""8 cups baby spinach"", ""2 cups sliced strawberries"", ""1/4 cup feta cheese (Optional)"", ""1/4 cup chopped toasted walnuts"", ""6 tablespoons Balsamic Vinaigrette""]","[""Preheat oven to 400 degrees F. Line a baking sheet with parchment or foil."", ""Place chicken on the prepared baking sheet. Sprinkle all over with salt, thyme, and pepper. Roast, flipping once, until the chicken is cooked through and reaches an internal temperature of 165°F, 15 to 17 minutes. Set aside to cool, then slice into bite-size pieces."", ""Divide spinach among 4 single-serving lidded containers (2 cups each). Top each with one-fourth of the sliced chicken, 1/2 cup sliced strawberries, 1 tablespoon feta (if using), and 1 tablespoon walnuts."", ""Seal the salad containers and refrigerate for up to 4 days."", ""Transfer 1 1/2 tablespoons vinaigrette into each of 4 small lidded containers and refrigerate for up to 5 days."", ""Dress the salads with the vinaigrette just before serving.""]",l1
lunch,Chopped Salad with Chicken & Creamy Chipotle Dressing,6,424,This chopped salad with chicken is smoky and zesty thanks to the creamy chipotle dressing. Cilantro adds a pop of freshness to each bite.,"[""2 canned chipotle chiles in adobo sauce"", ""1/3 cup mayonnaise"", ""1/4 cup whole-milk plain strained yogurt, such as Greek or skyr"", ""1/4 cup lime juice"", ""1 clove garlic, chopped"", ""1/2 teaspoon ground pepper"", ""1/2 teaspoon ground cumin"", ""1/4 teaspoon salt"", ""1 (15 ounce) can no-salt-added black beans, rinsed"", ""10 cups chopped romaine lettuce"", ""1 medium red bell pepper, chopped"", ""2 small ears corn, husked, kernels cut from cobs"", ""1/2 cup chopped red onion"", ""1/2 cup chopped fresh cilantro"", ""3 cups shredded cooked chicken"", ""2 medium avocados, chopped""]","[""Combine chipotles, mayonnaise, yogurt, lime juice, garlic, pepper, cumin, and salt in a blender; process until smooth, about 30 seconds."", ""Place black beans, lettuce, bell pepper, corn kernels, onion, and cilantro in a large bowl; drizzle with the dressing and toss to coat."", ""Divide among 6 bowls and top evenly with chicken and avocado.""]",l2
lunch,Chickpea & Quinoa Bowl with Roasted Red Pepper Sauce,4,479,"Quinoa and chickpeas pack this vegetarian grain bowl with plenty of plant-based protein. Whip up a batch of these flavorful grain bowls and store them in lidded containers to stash in the fridge for easy, healthy grab-and-go lunches all week long.","[""1 (7 ounce) jar roasted red peppers, rinsed"", ""1/4 cup slivered almonds"", ""4 tablespoons extra-virgin olive oil, divided"", ""1 small clove garlic, minced"", ""1 teaspoon paprika"", ""1/2 teaspoon ground cumin"", ""1/4 teaspoon crushed red pepper (optional)"", ""2 cups cooked quinoa"", ""1/4 cup Kalamata olives, chopped"", ""1/4 cup finely chopped red onion"", ""1 (15 ounce) can chickpeas, rinsed"", ""1 cup diced cucumber"", ""1/4 cup crumbled feta cheese"", ""2 tablespoons finely chopped fresh parsley""]","[""Place peppers, almonds, 2 tablespoons oil, garlic, paprika, cumin, and crushed red pepper (if using) in a mini food processor. Puree until fairly smooth."", ""Combine quinoa, olives, red onion, and the remaining 2 tablespoons oil in a medium bowl."", ""To serve, divide the quinoa mixture among 4 bowls and top with equal amounts of the chickpeas, cucumber, and the red pepper sauce."", ""Sprinkle with feta and parsley.""]",l3
lunch,Veggie & Hummus Sandwich,1,325,"This mile-high vegetable and hummus sandwich makes the perfect heart-healthy vegetarian lunch to go. Mix it up with different flavors of hummus and different types of vegetables, depending on your mood.","[""2 slices whole-grain bread"", ""3 tablespoons hummus"", ""1/4 avocado, mashed"", ""1/2 cup mixed salad greens"", ""1/4 medium red bell pepper, sliced"", ""1/4 cup sliced cucumber"", ""1/4 cup shredded carrot""]","[""Spread 1 slice of bread with hummus and the other with avocado."", ""Fill the sandwich with greens, bell pepper, cucumber, and carrot."", ""Slice in half and serve.""]",l4
lunch,Green Goddess Salad with Chickpeas,2,304,"In this cucumber, tomato, Swiss cheese and chickpea salad recipe, a healthy green goddess dressing is made from avocado, buttermilk and herbs. The extra dressing is delicious served with grilled vegetables."," ""1 avocado, peeled and pitted"", ""1 1/2 cups buttermilk"", ""1/4 cup chopped fresh herbs, such as tarragon, sorrel, mint, parsley and/or cilantro"", ""2 tablespoons rice vinegar"", ""1/2 teaspoon salt"", ""3 cups chopped romaine lettuce"", ""1 cup sliced cucumber"", ""1 (15 ounce) can chickpeas, rinsed"", ""1/4 cup diced low-fat Swiss cheese"", ""6 cherry tomatoes, halved if desired""","[""To prepare dressing: Place avocado, buttermilk, herbs, vinegar, and salt in a blender. Puree until smooth."", ""To prepare salad: Toss lettuce and cucumber in a bowl with 1/4 cup of the dressing. Top with chickpeas, cheese, and tomatoes. (Refrigerate the extra dressing for up to 3 days.)""]",l5
lunch,"Salmon & Quinoa Bowls with Green Beans, Olives & Feta",4,484,"This flavorful and easy salmon quinoa bowl is a meal that keeps on giving. Pack up any leftovers for a next-day lunch, or make the entire recipe ahead and pack it into individual serving containers for ready-to-go meals.","[""1 pound salmon fillet"", ""1/2 teaspoon salt, divided"", ""1/4 teaspoon ground pepper"", ""8 ounces string beans (green, yellow, or a mix), trimmed and cut into 1-inch pieces"", ""1 3/4 cups water"", ""3/4 cup quinoa (red, white, or tricolored), rinsed"", ""3 tablespoons lemon juice"", ""2 tablespoons olive oil"", ""1 clove garlic, minced"", ""2 teaspoons chopped fresh oregano, plus more for garnish, or 1/2 tsp. dried"", ""1 medium tomato, seeded and chopped"", ""1/4 cup crumbled feta cheese"", ""1/4 cup pitted Kalamata olives, halved or sliced""]","[""Preheat oven to 400 degrees F. Line a large baking sheet with foil. Place salmon fillet on the prepared baking sheet and sprinkle with 1/8 tsp. salt and pepper. Bake until the salmon is no longer opaque in the center and flakes easily with a fork, 20 to 25 minutes. Let rest for 5 minutes, then flake the salmon into bite-size pieces (discard the skin)."", ""Meanwhile, bring 1 inch of water to a boil in a medium saucepan fitted with a steamer basket. Add beans; cover and cook until tender-crisp, about 5 minutes. Rinse the beans under cold water, drain well, and set aside."", ""Combine 1 3/4 cups water, quinoa, and 1/8 tsp. salt in the saucepan; bring to a boil. Reduce heat to low, cover, and simmer until the quinoa is tender and most of the liquid has been absorbed, 15 to 20 minutes. Fluff with a fork."", ""Whisk lemon juice, olive oil, minced garlic, chopped oregano, and the remaining 1/4 tsp. salt in a small bowl."", ""To serve, divide the quinoa among 4 dinner bowls. Arrange the salmon, beans, tomato, feta, and olives over the quinoa. Drizzle with the dressing and garnish with more fresh oregano, if desired.""]",l6
lunch,Chopped Salad with Sriracha Tofu & Peanut Dressing,4,332,"Prep four days' worth of high-protein vegan lunches using just four easy ingredients from your local specialty grocery store, including a veggie-heavy salad mix as a base. Because this salad mix is hearty, you can dress these bowls up to 24 hours before serving to allow the flavors in this healthy chopped salad to marry. If you can't find a hearty mix, go with broccoli slaw or shredded Brussels sprouts.","[""1 (10 ounce) package kale, Brussels sprout, broccoli and cabbage salad mix"", ""1 (12 ounce) package frozen shelled edamame, thawed"", ""2 (7 ounce) packages Sriracha-flavored baked tofu, cubed"", ""1/2 cup spicy peanut vinaigrette""]","[""Divide salad mix among 4 single-serving containers with lids. Top each with 1/2 cup edamame and one-fourth of the tofu."", ""Transfer 2 tablespoons vinaigrette into each of 4 small lidded containers and refrigerate for up to 4 days."", ""Seal the salad containers and refrigerate for up to 4 days. Dress with vinaigrette up to 1 day before serving.""]",l7
lunch,Chipotle-Lime Cauliflower Taco Bowls,4,345,"A bold, smoky marinade elevates roasted cauliflower in this meal-prep version of our popular Chipotle-Lime Cauliflower Tacos by Carolyn Malcoun. To cut down on prep time for these healthy taco bowls, look for precut cauliflower in the produce department. You can also save time by using microwaveable quinoa pouches (you'll need one 8-ounce pouch for this recipe) instead of cooking quinoa.","[""1/4 cup lime juice (from about 2 limes)"", ""1-2 tablespoons chopped chipotles in adobo sauce"", ""1 tablespoon honey"", ""2 cloves garlic"", ""1/2 teaspoon salt"", ""1 small head cauliflower, cut into bite-size pieces"", ""1 small red onion, halved and thinly sliced"", ""2 cups cooked quinoa, cooled"", ""1 cup no-salt-added canned black beans, rinsed"", ""1/2 cup crumbled queso fresco"", ""1 cup shredded red cabbage"", ""1 medium avocado"", ""1 lime, cut into 4 wedges (Optional)""]","[""Preheat oven to 450°F. Line a large rimmed baking sheet with foil."", ""Combine lime juice, chipotles to taste, honey, garlic, and salt in a blender. Process until mostly smooth."", ""Place cauliflower in a large bowl; add the sauce and stir to coat. Transfer to the prepared baking sheet. Sprinkle onion over the cauliflower."", ""Roast, stirring once, until the cauliflower is tender and browned in spots, 18 to 20 minutes; set aside to cool."", ""Divide quinoa among 4 single-serving lidded containers (1/2 cup each). Top each with one-fourth of the cauliflower mixture, 1/4 cup black beans, and 2 tablespoons cheese."", ""Seal the containers and refrigerate for up to 4 days."", ""To reheat 1 container, vent the lid and microwave on High until steaming, 2 1/2 to 3 minutes. Top with 1/4 cup cabbage and 1/4 avocado (sliced)."", ""Serve with a lime wedge, if desired.""]",l8
lunch,Curried Chickpea Stew,8,249,"Who says a meatless meal isn't filling? Packed with fiber-rich vegetables and chickpeas, this fragrant stew satisfies.","[""1 (10 ounce) bag prewashed spinach or other sturdy greens"", ""1 1/2 tablespoons canola oil"", ""1 large onion, chopped"", ""1 (2 inch) piece fresh ginger, peeled and minced"", ""1/2-1 small jalapeño pepper, seeded and finely chopped"", ""3 cloves garlic, minced"", ""1 tablespoon curry powder"", ""3 medium carrots, peeled and thinly sliced"", ""1/2 medium head cauliflower, broken into bite-size florets (3 cups)"", ""2 (15 ounce) cans low-sodium chickpeas, rinsed"", ""2 (14 ounce) cans no-salt-added diced tomatoes, drained"", ""1/2 cup fat-free half-and-half"", ""1/3 cup 'lite' coconut milk""]","[""Place spinach (or other greens) in a microwave-safe dish; add 1 tablespoon water and cover. Microwave on High, stirring occasionally, until just wilted, 1 to 2 minutes. Transfer to a colander to drain. When cool enough to handle, squeeze out any excess water. Coarsely chop and set aside."", ""Heat oil in a large nonstick skillet with high sides or a Dutch oven. Add onion and cook, stirring, until translucent, about 8 minutes. Add ginger, jalapeño, garlic, and curry powder; cook, stirring, for 30 seconds."", ""Add carrots and 2 tablespoons water; cover and cook, stirring occasionally, until the carrots have softened, about 10 minutes (add more water if the mixture becomes dry). Add cauliflower; cover and cook, stirring occasionally, until barely tender-crisp, 5 to 10 minutes more."", ""Stir in chickpeas, tomatoes, half-and-half, and coconut milk. Bring to just below boiling. Reduce heat to low and simmer uncovered, stirring occasionally, for 15 minutes. Stir in the reserved spinach (or greens) and heat through."", ""Transfer half of the mixture (about 5 cups) to a 1 1/2-quart freezer container; label and freeze for up to 1 month. Serve the remaining half at once, or refrigerate for up to 3 days.""]",l9
lunch,Zucchini Noodles with Quick Turkey Bolognese,4,365,"Forgo regular pasta (and most of the carbs) for spiralized zucchini ""noodles"" in these make-ahead meals. The zoodles quickly turn tender-crisp as the veggie-packed Bolognese warms in the microwave.","[""3 cups Quick Turkey Meat Sauce"", ""8 cups zucchini noodles (from 3 medium zucchini)"", ""1/2 cup grated Parmesan cheese""]","[""Prepare Quick Turkey Meat Sauce as directed."", ""As the sauce cooks, divide zucchini noodles among 4 single-serving containers with lids (about 2 cups per container)."", ""Add 3/4 cup of the sauce and 2 tablespoons Parmesan to each container. Seal and refrigerate for up to 4 days."", ""To reheat, vent the lid and microwave on High until the sauce is steaming and the noodles are tender, 2 1/2 to 3 minutes.""]",l10
